Dataset,error,runtime
Coffee,0.03571,0.403
Earthquakes,0.19565,2.996
ECG200,0.18,0.177
ECGFiveDays,0.00465,0.089
FordA,0.10969,26.945
FordB,0.13806,14.444
Gun_Point,0.02667,0.144
Lighting2,0.22951,1.066
MoteStrain,0.12141,0.06
Passgraph,0.32824,0.43
SonyAIBORobotSurface,0.27121,0.051
SonyAIBORobotSurfaceII,0.13012,0.063
TwoLeadECG,0.09306,0.046
wafer,8.1E-4,2.09
yoga,0.14433,2.411
ArrowHead,0.17143,0.186
Beef,0.2,0.426
CBF,0.01889,0.092
ChlorineConcentration,0.3599,1.407
CinC_ECG_torso,0.27754,2.76
DiatomSizeReduction,0.02288,0.119
ElectricDevices,0.36441,19.084
FaceAll,0.21006,3.469
FaceFour,0.02273,0.231
FacesUCR,0.13268,1.091
FISH,0.01714,2.19
Haptics,0.52922,4.905
InlineSkate,0.68909,9.715
Lighting7,0.46575,0.745
MALLAT,0.09851,2.042
MedicalImages,0.44868,0.884
OliveOil,0.13333,0.234
OSULeaf,0.08678,2.862
StarLightCurves,0.11158,17.965
SwedishLeaf,0.1312,2.358
Symbols,0.07337,0.261
Trace,0.0,0.507
Two_Patterns,0.01475,3.079
uWaveGestureLibrary_X,0.27834,11.582
uWaveGestureLibrary_Y,0.38386,11.885
uWaveGestureLibrary_Z,0.32942,10.829
50words,0.34945,14.253
Adiac,0.29923,2.808
BeetleFly,0.2,0.26
BirdChicken,0.25,0.21
Car,0.25,0.704
Computers,0.292,3.293
Cricket,0.12245,0.069
Cricket_X,0.35385,7.087
Cricket_Y,0.30513,7.227
Cricket_Z,0.34872,6.819
DistalPhalanxOutlineAgeGroup,0.155,0.158
DistalPhalanxOutlineCorrect,0.27667,0.252
DistalPhalanxTW,0.2525,0.182
ECG5000,0.076,1.41
Ham,0.22857,1.015
HandOutlines,0.096,14.51
Herring,0.39063,0.56
InsectWingbeatSound,0.4303,2.018
ItalyPowerDemand,0.10301,0.025
LargeKitchenAppliances,0.34933,3.638
Meat,0.06667,0.214
MiddlePhalanxOutlineAgeGroup,0.25,0.16
MiddlePhalanxOutlineCorrect,0.35,0.218
MiddlePhalanxTW,0.38847,0.185
NonInvasiveFatalECG_Thorax1,0.16896,333.963
NonInvasiveFatalECG_Thorax2,0.11807,354.834
PhalangesOutlinesCorrect,0.28904,1.418
Phoneme,0.85759,43.378
Plane,0.0,0.281
ProximalPhalanxOutlineAgeGroup,0.20976,0.291
ProximalPhalanxOutlineCorrect,0.12715,0.375
ProximalPhalanxTW,0.2475,0.2
RefrigerationDevices,0.464,7.283
ScreenType,0.504,7.533
ShapeletSim,0.02222,0.357
ShapesAll,0.16,72.987
SmallKitchenAppliances,0.28,5.38
Strawberry,0.02447,0.887
synthetic_control,0.03667,0.326
ToeSegmentation1,0.04825,0.27
ToeSegmentation2,0.08462,0.304
UWaveGestureLibraryAll,0.19514,67.223
Wine,0.33333,0.093
WordsSynonyms,0.43887,4.921
Worms,0.35359,2.505
WormsTwoClass,0.24309,1.785
