Dataset,error,SAX_time,TotalLearn_time,MaxLearn_time,TotalTest_time,MaxTest_time
Coffee,0.0,0.035,0.321,0.321,0.004,0.004
Earthquakes,0.217,0.739,3.887,3.887,0.135,0.135
ECG200,0.26,0.021,0.677,0.677,0.007,0.007
ECGFiveDays,0.027,0.158,0.273,0.273,0.076,0.076
FordA,0.152,7.826,56.999,56.999,2.012,2.012
FordB,0.214,6.953,43.959,43.959,1.947,1.947
Gun_Point,0.013,0.037,0.389,0.389,0.012,0.012
Lighting2,0.279,0.251,1.322,1.322,0.017,0.017
MoteStrain,0.161,0.102,0.092,0.092,0.059,0.059
Passgraph,0.26,0.151,1.318,1.318,0.026,0.026
SonyAIBORobotSurface,0.271,0.041,0.084,0.084,0.025,0.025
SonyAIBORobotSurfaceII,0.12,0.061,0.107,0.107,0.043,0.043
TwoLeadECG,0.062,0.09,0.127,0.127,0.048,0.048
wafer,0.007,1.409,5.752,5.752,0.524,0.524
yoga,0.227,3.051,5.481,5.481,0.676,0.676
ArrowHead,0.36,0.082,0.957,0.338,0.049,0.015
Beef,0.167,0.075,2.704,0.662,0.029,0.006
CBF,0.102,0.148,0.585,0.232,0.206,0.078
ChlorineConcentration,0.346,1.07,37.026,16.86,2.326,0.856
CinC_ECG_torso,0.322,15.737,3.055,0.896,1.394,0.407
DiatomSizeReduction,0.108,0.188,0.429,0.131,0.076,0.025
ElectricDevices,0.327,1.421,168.764,36.622,2.677,0.567
FaceAll,0.312,0.372,40.18,3.375,2.051,0.188
FaceFour,0.125,0.09,1.075,0.292,0.059,0.016
FacesUCR,0.319,0.382,12.533,1.109,2.02,0.167
FISH,0.046,0.364,10.353,1.648,0.14,0.022
Haptics,0.62,2.349,15.93,3.416,0.406,0.083
InlineSkate,0.713,8.909,10.309,1.919,0.679,0.121
Lighting7,0.411,0.092,5.343,1.184,0.081,0.014
MALLAT,0.185,11.259,7.706,1.09,3.948,0.556
MedicalImages,0.436,0.12,18.654,4.436,0.534,0.09
OliveOil,0.3,0.095,2.276,0.62,0.016,0.005
OSULeaf,0.186,0.452,16.881,3.423,0.296,0.056
StarLightCurves,0.048,40.209,37.989,15.693,4.73,1.947
SwedishLeaf,0.171,0.164,33.334,2.684,0.692,0.067
Symbols,0.136,0.794,0.863,0.167,0.507,0.088
Trace,0.0,0.094,2.854,0.756,0.041,0.011
Two_Patterns,0.133,0.793,45.597,19.053,2.101,0.771
uWaveGestureLibrary_X,0.476,2.571,105.281,16.735,6.164,1.006
uWaveGestureLibrary_Y,0.565,2.555,112.832,16.993,6.816,0.913
uWaveGestureLibrary_Z,0.52,2.563,106.82,17.479,6.156,0.919
50words,0.629,0.424,162.557,4.206,2.344,0.078
Adiac,0.545,0.156,52.529,1.829,0.863,0.042
BeetleFly,0.1,0.058,0.337,0.337,0.004,0.004
BirdChicken,0.0,0.052,0.259,0.259,0.002,0.002
Car,0.167,0.179,2.214,0.584,0.031,0.008
Computers,0.34,1.126,3.944,3.944,0.051,0.051
Cricket,0.153,0.066,0.104,0.104,0.015,0.015
Cricket_X,0.485,0.472,52.724,5.178,0.802,0.077
Cricket_Y,0.492,0.468,51.977,4.915,0.789,0.074
Cricket_Z,0.444,0.471,52.711,5.321,0.818,0.079
DistalPhalanxOutlineAgeGroup,0.182,0.041,2.593,1.108,0.075,0.029
DistalPhalanxOutlineCorrect,0.29,0.067,2.544,2.544,0.058,0.058
DistalPhalanxTW,0.253,0.042,3.505,0.883,0.124,0.025
ECG5000,0.076,0.876,14.442,3.413,2.011,0.473
Ham,0.295,0.241,2.199,2.199,0.028,0.028
HandOutlines,0.156,38.603,10.655,10.655,0.45,0.45
Herring,0.422,0.167,1.499,1.499,0.012,0.012
InsectWingbeatSound,0.608,0.953,20.571,2.13,3.056,0.379
ItalyPowerDemand,0.269,0.018,0.243,0.243,0.027,0.027
LargeKitchenAppliances,0.24,1.552,7.303,2.679,0.158,0.068
Meat,0.067,0.137,2.964,1.096,0.029,0.011
MiddlePhalanxOutlineAgeGroup,0.28,0.042,3.153,1.291,0.083,0.03
MiddlePhalanxOutlineCorrect,0.367,0.067,2.884,2.884,0.059,0.059
MiddlePhalanxTW,0.409,0.042,3.893,0.917,0.132,0.027
PhalangesOutlinesCorrect,0.287,0.212,32.863,32.863,0.129,0.129
Phoneme,0.802,12.138,174.136,5.712,25.065,1.045
Plane,0.01,0.042,4.46,0.68,0.061,0.01
ProximalPhalanxOutlineAgeGroup,0.156,0.049,7.138,3.317,0.049,0.02
ProximalPhalanxOutlineCorrect,0.182,0.067,6.602,6.602,0.035,0.035
ProximalPhalanxTW,0.207,0.047,4.664,1.001,0.124,0.027
RefrigerationDevices,0.459,1.977,20.755,7.442,0.352,0.122
ScreenType,0.539,1.674,19.044,7.009,0.257,0.095
ShapeletSim,0.006,0.323,0.406,0.406,0.051,0.051
ShapesAll,0.345,1.606,328.782,6.276,4.672,0.112
SmallKitchenAppliances,0.224,1.636,7.934,2.832,0.205,0.069
Strawberry,0.046,0.388,4.627,4.627,0.105,0.105
synthetic_control,0.343,0.032,5.937,1.237,0.103,0.019
ToeSegmentation1,0.083,0.144,0.491,0.491,0.037,0.037
ToeSegmentation2,0.146,0.12,0.475,0.475,0.021,0.021
UWaveGestureLibraryAll,0.311,18.825,155.343,22.709,9.541,1.318
Wine,0.444,0.045,1.032,1.032,0.007,0.007
WordsSynonyms,0.644,0.417,51.371,3.209,1.8,0.115
Worms,0.464,0.995,6.992,1.882,0.224,0.055
WormsTwoClass,0.326,0.991,1.896,1.896,0.055,0.055

