Dataset,Error,Runtime
50words,0.69231,9.469
Adiac,0.8312,0.665
ArrowHead,0.23429,0.302
Beef,0.23333,0.273
BeetleFly,0.20,0.24
BirdChicken,0.05,0.25
Car,0.20,0.313
CBF,0.65333,0.497
ChlorineConcentration,0.36432,5.278
CinC_ECG_torso,0.32319,6.005
Coffee,0.07143,0.22
Computers,0.46,1.05
Cricket,0.29592,0.256
Cricket_X,0.45128,5.41
Cricket_Y,0.55897,5.522
Cricket_Z,0.43846,5.497
DiatomSizeReduction,0.11765,0.398
DistalPhalanxOutlineAgeGroup,0.21,0.287
DistalPhalanxOutlineCorrect,0.37333,0.353
DistalPhalanxTW,0.2475,0.346
Earthquakes,0.23292,1.091
ECG200,0.22,0.263
ECG5000,0.09889,8.383
ECGFiveDays,0.15679,0.397
ElectricDevices,0.40241,123.378
FaceAll,0.34438,18.929
FaceFour,0.09091,0.335
FacesUCR,0.31512,8.473
FISH,0.12,0.567
FordA,0.26909,59.578
FordB,0.40374,35.461
Gun_Point,0.01333,0.243
Ham,0.35238,0.497
HandOutlines,0.252,11.497
Haptics,0.55844,1.588
Herring,0.4375,0.326
InlineSkate,0.71455,3.434
InsectWingbeatSound,0.67626,6.759
LargeKitchenAppliances,0.35733,1.043
Lighting2,0.34426,0.429
Lighting7,0.49315,0.448
MALLAT,0.23923,7.273
Meat,0.15,0.308
MedicalImages,0.54342,1.907
MiddlePhalanxOutlineAgeGroup,0.23,0.315
MiddlePhalanxOutlineCorrect,0.44,0.375
MiddlePhalanxTW,0.40351,0.318
MoteStrain,0.16454,0.322
NonInvasiveFatalECG_Thorax1,0.46209,134.608
NonInvasiveFatalECG_Thorax2,0.37506,91.873
OliveOil,0.20,0.254
OSULeaf,0.12397,1.279
Passgraph,0.31298,0.347
PhalangesOutlinesCorrect,0.4359,0.645
Phoneme,0.86287,139.87
Plane,0.00,0.319
ProximalPhalanxOutlineAgeGroup,0.19024,0.279
ProximalPhalanxOutlineCorrect,0.35739,0.326
ProximalPhalanxTW,0.41,0.31
RefrigerationDevices,0.51733,2.632
ScreenType,0.61067,1.736
ShapeletSim,0.43889,0.454
ShapesAll,0.615,21.519
SmallKitchenAppliances,0.50933,1.314
StarLightCurves,0.14145,42.333
Strawberry,0.03426,0.875
SwedishLeaf,0.504,2.56
Symbols,0.08643,0.78
ToeSegmentation1,0.06579,0.402
ToeSegmentation2,0.10769,0.361
Trace,0.18,0.41
TwoLeadECG,0.00878,0.296
Two_Patterns,0.16975,15.341
UWaveGestureLibraryAll,0.29537,79.367
uWaveGestureLibrary_X,0.60999,23.232
uWaveGestureLibrary_Y,0.6904,24.901
uWaveGestureLibrary_Z,0.63763,22.999
wafer,0.00925,3.781
Wine,0.31481,0.246
WordsSynonyms,0.62853,5.068
Worms,0.59669,1.148
WormsTwoClass,0.35359,0.847
yoga,0.264,2.676

